account_id,company_name,industry,segment,region,employee_count,annual_revenue_usd
ACC0001,Apex Tech,SaaS,Mid-Market,West,962,5000000
ACC0002,Arc Labs,FinTech,SMB,East,2303,10000000
ACC0003,Summit IO,EdTech,Enterprise,Central,1878,10000000
ACC0004,Forge IO,Logistics,Mid-Market,EMEA,889,100000000
ACC0005,Zenith Group,Cybersecurity,Mid-Market,West,762,100000000
ACC0006,Pulse IO,E-commerce,SMB,East,3506,5000000
ACC0007,Summit Cloud,SaaS,Enterprise,Central,294,5000000
ACC0008,Zenith AI,FinTech,Mid-Market,West,1841,10000000
ACC0009,Orbit AI,Cybersecurity,SMB,EMEA,4189,100000000
ACC0010,Vantage Systems,Logistics,Enterprise,East,267,100000000
ACC0011,Nova Group,EdTech,Mid-Market,Central,1678,100000000
ACC0012,Cascade Corp,SaaS,SMB,West,3486,10000000
ACC0013,BlueSky Inc,FinTech,Mid-Market,East,3729,100000000
ACC0014,Vertex Data,Cybersecurity,Enterprise,EMEA,2328,5000000
ACC0015,Nimbus Co,E-commerce,SMB,Central,1357,50000000
ACC0016,Crest Analytics,SaaS,Mid-Market,West,2837,25000000
ACC0017,Peak Systems,Logistics,SMB,East,1323,10000000
ACC0018,Ironclad Inc,FinTech,Enterprise,Central,2807,5000000
ACC0019,Meridian Tech,Cybersecurity,Mid-Market,EMEA,809,50000000
ACC0020,Harbor AI,EdTech,SMB,West,842,25000000
ACC0021,Tidal Wave,SaaS,Mid-Market,East,2867,100000000
ACC0022,Flint Group,Logistics,Enterprise,Central,2216,5000000
ACC0023,Ember Labs,FinTech,SMB,EMEA,3813,100000000
ACC0024,Frost Digital,Cybersecurity,Mid-Market,West,1072,50000000
ACC0025,Glacier IO,E-commerce,SMB,East,695,100000000
ACC0026,Dune Systems,SaaS,Enterprise,Central,2451,100000000
ACC0027,Cobalt AI,FinTech,Mid-Market,EMEA,3012,100000000
ACC0028,Quartz Corp,Logistics,SMB,West,1625,5000000
ACC0029,Slate Tech,Cybersecurity,Mid-Market,East,425,10000000
ACC0030,Onyx Solutions,EdTech,Enterprise,Central,2420,5000000
